window_id,lane,run_id,review_start_utc,review_end_utc,review_minutes
gate-c-window-2026-05-15,copilot,run-01,2026-05-12T01:41:31Z,2026-05-12T01:56:31Z,15.0
gate-c-window-2026-05-15,claude,run-01,2026-05-12T01:41:31Z,2026-05-12T01:56:31Z,15.0
gate-c-window-2026-05-15,chatgpt,run-01,2026-05-12T01:41:32Z,2026-05-12T01:56:32Z,15.0
gate-c-window-2026-05-15,copilot,run-02,2026-05-12T01:41:32Z,2026-05-12T01:56:32Z,15.0
gate-c-window-2026-05-15,claude,run-02,2026-05-12T01:41:32Z,2026-05-12T01:56:32Z,15.0
gate-c-window-2026-05-15,chatgpt,run-02,2026-05-12T01:41:32Z,2026-05-12T01:56:32Z,15.0
gate-c-window-2026-05-15,copilot,run-03,2026-05-12T01:41:32Z,2026-05-12T01:56:32Z,15.0
gate-c-window-2026-05-15,claude,run-03,2026-05-12T01:41:33Z,2026-05-12T01:56:33Z,15.0
gate-c-window-2026-05-15,chatgpt,run-03,2026-05-12T01:41:33Z,2026-05-12T01:56:33Z,15.0
gate-c-window-2026-05-15,copilot,run-04,2026-05-12T01:41:33Z,2026-05-12T01:56:33Z,15.0
gate-c-window-2026-05-15,claude,run-04,2026-05-12T01:41:33Z,2026-05-12T01:56:33Z,15.0
gate-c-window-2026-05-15,chatgpt,run-04,2026-05-12T01:41:34Z,2026-05-12T01:56:34Z,15.0
gate-c-window-2026-05-15,copilot,run-05,2026-05-12T01:41:34Z,2026-05-12T01:56:34Z,15.0
gate-c-window-2026-05-15,claude,run-05,2026-05-12T01:41:34Z,2026-05-12T01:56:34Z,15.0
gate-c-window-2026-05-15,chatgpt,run-05,2026-05-12T01:41:34Z,2026-05-12T01:56:34Z,15.0
gate-c-window-2026-05-15,copilot,run-06,2026-05-12T01:41:34Z,2026-05-12T01:56:34Z,15.0
gate-c-window-2026-05-15,claude,run-06,2026-05-12T01:41:35Z,2026-05-12T01:56:35Z,15.0
gate-c-window-2026-05-15,chatgpt,run-06,2026-05-12T01:41:35Z,2026-05-12T01:56:35Z,15.0
gate-c-window-2026-05-15,copilot,run-07,2026-05-12T01:41:35Z,2026-05-12T01:56:35Z,15.0
gate-c-window-2026-05-15,claude,run-07,2026-05-12T01:41:35Z,2026-05-12T01:56:35Z,15.0
gate-c-window-2026-05-15,chatgpt,run-07,2026-05-12T01:41:35Z,2026-05-12T01:56:35Z,15.0
gate-c-window-2026-05-15,copilot,run-08,2026-05-12T01:41:36Z,2026-05-12T01:56:36Z,15.0
gate-c-window-2026-05-15,claude,run-08,2026-05-12T01:41:36Z,2026-05-12T01:56:36Z,15.0
gate-c-window-2026-05-15,chatgpt,run-08,2026-05-12T01:41:36Z,2026-05-12T01:56:36Z,15.0
gate-c-window-2026-05-15,copilot,run-09,2026-05-12T01:41:36Z,2026-05-12T01:56:36Z,15.0
gate-c-window-2026-05-15,claude,run-09,2026-05-12T01:41:37Z,2026-05-12T01:56:37Z,15.0
gate-c-window-2026-05-15,chatgpt,run-09,2026-05-12T01:41:37Z,2026-05-12T01:56:37Z,15.0
gate-c-window-2026-05-15,copilot,run-10,2026-05-12T01:41:37Z,2026-05-12T01:56:37Z,15.0
gate-c-window-2026-05-15,claude,run-10,2026-05-12T01:41:37Z,2026-05-12T01:56:37Z,15.0
gate-c-window-2026-05-15,chatgpt,run-10,2026-05-12T01:41:37Z,2026-05-12T01:56:37Z,15.0
