window_id,lane,run_id,pack,review_start_utc,review_end_utc,review_minutes,reopen_count,revert_count,total_changes,integration_stability,stability_note
gate-c-window-2026-05-16,copilot,run-01,comparable,2026-05-12T01:54:04Z,2026-05-12T02:09:04Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-01,comparable,2026-05-12T01:54:04Z,2026-05-12T02:09:04Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-01,comparable,2026-05-12T01:54:04Z,2026-05-12T02:09:04Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-02,comparable,2026-05-12T01:54:04Z,2026-05-12T02:09:04Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-02,comparable,2026-05-12T01:54:04Z,2026-05-12T02:09:04Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-02,comparable,2026-05-12T01:54:05Z,2026-05-12T02:09:05Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-03,comparable,2026-05-12T01:54:05Z,2026-05-12T02:09:05Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-03,comparable,2026-05-12T01:54:05Z,2026-05-12T02:09:05Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-03,comparable,2026-05-12T01:54:05Z,2026-05-12T02:09:05Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-04,comparable,2026-05-12T01:54:06Z,2026-05-12T02:09:06Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-04,comparable,2026-05-12T01:54:06Z,2026-05-12T02:09:06Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-04,comparable,2026-05-12T01:54:06Z,2026-05-12T02:09:06Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-05,ambiguity,2026-05-12T01:54:06Z,2026-05-12T02:09:06Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-05,ambiguity,2026-05-12T01:54:06Z,2026-05-12T02:09:06Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-05,ambiguity,2026-05-12T01:54:07Z,2026-05-12T02:09:07Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-06,ambiguity,2026-05-12T01:54:07Z,2026-05-12T02:09:07Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-06,ambiguity,2026-05-12T01:54:07Z,2026-05-12T02:09:07Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-06,ambiguity,2026-05-12T01:54:07Z,2026-05-12T02:09:07Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-07,ambiguity,2026-05-12T01:54:08Z,2026-05-12T02:09:08Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-07,ambiguity,2026-05-12T01:54:08Z,2026-05-12T02:09:08Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-07,ambiguity,2026-05-12T01:54:08Z,2026-05-12T02:09:08Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-08,ablation,2026-05-12T01:54:08Z,2026-05-12T02:09:08Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-08,ablation,2026-05-12T01:54:08Z,2026-05-12T02:09:08Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-08,ablation,2026-05-12T01:54:09Z,2026-05-12T02:09:09Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-09,ablation,2026-05-12T01:54:09Z,2026-05-12T02:09:09Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-09,ablation,2026-05-12T01:54:09Z,2026-05-12T02:09:09Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-09,ablation,2026-05-12T01:54:09Z,2026-05-12T02:09:09Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,copilot,run-10,ablation,2026-05-12T01:54:10Z,2026-05-12T02:09:10Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,claude,run-10,ablation,2026-05-12T01:54:10Z,2026-05-12T02:09:10Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-16,chatgpt,run-10,ablation,2026-05-12T01:54:10Z,2026-05-12T02:09:10Z,15.0,0,0,1,stable,p1 observation run
