window_id,lane,run_id,pack,review_start_utc,review_end_utc,review_minutes,reopen_count,revert_count,total_changes,integration_stability,stability_note
gate-c-window-2026-05-12,copilot,run-01,comparable,2026-05-11T09:46:31Z,2026-05-11T10:01:31Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-01,comparable,2026-05-11T09:46:32Z,2026-05-11T10:01:32Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-01,comparable,2026-05-11T09:46:33Z,2026-05-11T10:01:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-02,comparable,2026-05-11T09:46:33Z,2026-05-11T10:01:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-02,comparable,2026-05-11T09:46:34Z,2026-05-11T10:01:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-02,comparable,2026-05-11T09:46:35Z,2026-05-11T10:01:35Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-03,comparable,2026-05-11T09:46:36Z,2026-05-11T10:01:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-03,comparable,2026-05-11T09:46:37Z,2026-05-11T10:01:37Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-03,comparable,2026-05-11T09:46:37Z,2026-05-11T10:01:37Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-04,comparable,2026-05-11T09:46:38Z,2026-05-11T10:01:38Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-04,comparable,2026-05-11T09:46:39Z,2026-05-11T10:01:39Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-04,comparable,2026-05-11T09:46:40Z,2026-05-11T10:01:40Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-05,ambiguity,2026-05-11T09:46:41Z,2026-05-11T10:01:41Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-05,ambiguity,2026-05-11T09:46:41Z,2026-05-11T10:01:41Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-05,ambiguity,2026-05-11T09:46:42Z,2026-05-11T10:01:42Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-06,ambiguity,2026-05-11T09:46:43Z,2026-05-11T10:01:43Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-06,ambiguity,2026-05-11T09:46:44Z,2026-05-11T10:01:44Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-06,ambiguity,2026-05-11T09:46:45Z,2026-05-11T10:01:45Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-07,ambiguity,2026-05-11T09:46:46Z,2026-05-11T10:01:46Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-07,ambiguity,2026-05-11T09:46:46Z,2026-05-11T10:01:46Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-07,ambiguity,2026-05-11T09:46:47Z,2026-05-11T10:01:47Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-08,ablation,2026-05-11T09:46:48Z,2026-05-11T10:01:48Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-08,ablation,2026-05-11T09:46:49Z,2026-05-11T10:01:49Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-08,ablation,2026-05-11T09:46:50Z,2026-05-11T10:01:50Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-09,ablation,2026-05-11T09:46:50Z,2026-05-11T10:01:50Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-09,ablation,2026-05-11T09:46:51Z,2026-05-11T10:01:51Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-09,ablation,2026-05-11T09:46:52Z,2026-05-11T10:01:52Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-10,ablation,2026-05-11T09:46:53Z,2026-05-11T10:01:53Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-10,ablation,2026-05-11T09:46:53Z,2026-05-11T10:01:53Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-10,ablation,2026-05-11T09:46:54Z,2026-05-11T10:01:54Z,15.0,0,0,1,stable,p1 observation run
