window_id,lane,run_id,pack,review_start_utc,review_end_utc,review_minutes,reopen_count,revert_count,total_changes,integration_stability,stability_note
gate-c-window-2026-05-12-r2,copilot,run-01,comparable,2026-05-12T02:14:32Z,2026-05-12T02:29:32Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-01,comparable,2026-05-12T02:14:32Z,2026-05-12T02:29:32Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-01,comparable,2026-05-12T02:14:32Z,2026-05-12T02:29:32Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-02,comparable,2026-05-12T02:14:33Z,2026-05-12T02:29:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-02,comparable,2026-05-12T02:14:33Z,2026-05-12T02:29:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-02,comparable,2026-05-12T02:14:33Z,2026-05-12T02:29:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-03,comparable,2026-05-12T02:14:33Z,2026-05-12T02:29:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-03,comparable,2026-05-12T02:14:33Z,2026-05-12T02:29:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-03,comparable,2026-05-12T02:14:33Z,2026-05-12T02:29:33Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-04,comparable,2026-05-12T02:14:34Z,2026-05-12T02:29:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-04,comparable,2026-05-12T02:14:34Z,2026-05-12T02:29:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-04,comparable,2026-05-12T02:14:34Z,2026-05-12T02:29:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-05,ambiguity,2026-05-12T02:14:34Z,2026-05-12T02:29:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-05,ambiguity,2026-05-12T02:14:34Z,2026-05-12T02:29:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-05,ambiguity,2026-05-12T02:14:34Z,2026-05-12T02:29:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-06,ambiguity,2026-05-12T02:14:34Z,2026-05-12T02:29:34Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-06,ambiguity,2026-05-12T02:14:35Z,2026-05-12T02:29:35Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-06,ambiguity,2026-05-12T02:14:35Z,2026-05-12T02:29:35Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-07,ambiguity,2026-05-12T02:14:35Z,2026-05-12T02:29:35Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-07,ambiguity,2026-05-12T02:14:35Z,2026-05-12T02:29:35Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-07,ambiguity,2026-05-12T02:14:35Z,2026-05-12T02:29:35Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-08,ablation,2026-05-12T02:14:35Z,2026-05-12T02:29:35Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-08,ablation,2026-05-12T02:14:36Z,2026-05-12T02:29:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-08,ablation,2026-05-12T02:14:36Z,2026-05-12T02:29:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-09,ablation,2026-05-12T02:14:36Z,2026-05-12T02:29:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-09,ablation,2026-05-12T02:14:36Z,2026-05-12T02:29:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-09,ablation,2026-05-12T02:14:36Z,2026-05-12T02:29:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,copilot,run-10,ablation,2026-05-12T02:14:36Z,2026-05-12T02:29:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,claude,run-10,ablation,2026-05-12T02:14:36Z,2026-05-12T02:29:36Z,15.0,0,0,1,stable,p1 observation run
gate-c-window-2026-05-12-r2,chatgpt,run-10,ablation,2026-05-12T02:14:37Z,2026-05-12T02:29:37Z,15.0,0,0,1,stable,p1 observation run
